호텔명,입실,퇴실,지역,숙박유형,가격
시타딘 난바 오사카,2023-08-31,2023-09-01,오사카,호텔,135119
호텔 유니버설 포트 비타,2023-08-31,2023-09-01,오사카,호텔,187760
히요리 호텔 오사카 난바 스테이션,2023-08-31,2023-09-01,오사카,호텔,64512
코트야드 바이 메리어트 신오사카 스테이션,2023-08-31,2023-09-01,오사카,호텔,170145
온야도 노노 난바 내추럴 핫 스프링,2023-08-31,2023-09-01,오사카,호텔,156146
스마일 호텔 프리미엄 오사카 히가시신사이바시,2023-08-31,2023-09-01,오사카,호텔,69380
스위소텔 난카이 오사카,2023-08-31,2023-09-01,오사카,호텔,243888
더 파크 프론트 호텔 앳 유니버셜 스튜디오 재팬,2023-08-31,2023-09-01,오사카,호텔,138266
호텔 일 쿠오레 난바,2023-08-31,2023-09-01,오사카,호텔,77599
호텔 WBF 남바 구로몬,2023-08-31,2023-09-01,오사카,호텔,87214
호텔 로열 클래식 오사카,2023-08-31,2023-09-01,오사카,호텔,224598
호텔 그란비아 오사카,2023-08-31,2023-09-01,오사카,호텔,83002
아고라 플레이스 난바,2023-08-31,2023-09-01,오사카,호텔,91508
크로스 호텔 오사카,2023-08-31,2023-09-01,오사카,호텔,125866
이비스 스타일스 오사카 난바 호텔,2023-08-31,2023-09-01,오사카,호텔,91255
호텔 비스키오 오사카 바이 그랑비아,2023-08-31,2023-09-01,오사카,호텔,95826
오사카 후지야 호텔,2023-08-31,2023-09-01,오사카,호텔,52388
오사카 엑셀 호텔 도큐,2023-08-31,2023-09-01,오사카,호텔,106803
호텔 그레이서리 오사카 난바,2023-08-31,2023-09-01,오사카,호텔,120667
소테쓰 프레사 인 오사카 난바,2023-08-31,2023-09-01,오사카,호텔,65903
도톤보리 크리스탈 호텔 II,2023-08-31,2023-09-01,오사카,호텔,56083
오사카 히노데 호텔,2023-08-31,2023-09-01,오사카,호텔,121159
호텔 유니조 오사카 우메다,2023-08-31,2023-09-01,오사카,호텔,54648
호텔 닛코 오사카,2023-08-31,2023-09-01,오사카,호텔,100699
인터컨티넨탈 오사카,2023-08-31,2023-09-01,오사카,호텔,353947
쉐라톤 미야코 호텔 오사카,2023-08-31,2023-09-01,오사카,호텔,135482
호텔 몬토레 르프레르 오사카,2023-08-31,2023-09-01,오사카,호텔,88874
APA 호텔 난바 에키 히가시,2023-08-31,2023-09-01,오사카,호텔,53714
호텔 케이한 유니버설 타워,2023-08-31,2023-09-01,오사카,호텔,138045
도미인 프리미엄 난바 내추럴 핫 스프링,2023-08-31,2023-09-01,오사카,호텔,85685
애로우 호텔,2023-08-31,2023-09-01,오사카,호텔,50044
호텔 유루리토 오사카,2023-08-31,2023-09-01,오사카,호텔,60020
페어필드 바이 메리어트 오사카 난바,2023-08-31,2023-09-01,오사카,호텔,92339
호텔 선플라자 2 아넥스,2023-08-31,2023-09-01,오사카,호텔,17208
호텔 88 신사이바시,2023-08-31,2023-09-01,오사카,호텔,179795
호텔 한신 오사카,2023-08-31,2023-09-01,오사카,호텔,65717
오사카 도큐 레이 호텔,2023-08-31,2023-09-01,오사카,호텔,54356
호텔 소비알 난바 다이코쿠초,2023-08-31,2023-09-01,오사카,호텔,43144
호텔 몬토레 라 스루 오사카,2023-08-31,2023-09-01,오사카,호텔,68483
더 로열 파크 호텔 아이코닉 오사카 미도스지,2023-08-31,2023-09-01,오사카,호텔,100035
호텔 비스타 오사카 난바,2023-08-31,2023-09-01,오사카,호텔,74470
하톤 호텔 니시 우메다,2023-08-31,2023-09-01,오사카,호텔,55078
호텔 한신 아넥스 오사카,2023-08-31,2023-09-01,오사카,호텔,56169
사라사 호텔 난바,2023-08-31,2023-09-01,오사카,호텔,66952
호텔 뉴 한큐 아넥스,2023-08-31,2023-09-01,오사카,호텔,50454
네스트 호텔 오사카 신사이바시,2023-08-31,2023-09-01,오사카,호텔,44131
하톤 호텔 신사이바시,2023-08-31,2023-09-01,오사카,호텔,55032
더 싱굴라리 호텔 & 스카이스파 앳 유니버설 스튜디오 재팬 TM,2023-08-31,2023-09-01,오사카,호텔,143084
APA 호텔 난바-신사이바시,2023-08-31,2023-09-01,오사카,호텔,52265
비아 인 신사이바시 요츠바시,2023-08-31,2023-09-01,오사카,호텔,54317
호텔 한큐 인터내셔널,2023-08-31,2023-09-01,오사카,호텔,176291
카라사카 호텔 그랜드 신-오사카 타워,2023-08-31,2023-09-01,오사카,호텔,81986
호텔 알프스 오사카,2023-08-31,2023-09-01,오사카,호텔,106516
더 웨스틴 오사카,2023-08-31,2023-09-01,오사카,호텔,199358
오리엔탈 호텔 유니버설 시티,2023-08-31,2023-09-01,오사카,호텔,148125
오사카 메리어트 미야코 호텔,2023-08-31,2023-09-01,오사카,호텔,349582
홀리데이 인 & 스위트 신 오사카,2023-08-31,2023-09-01,오사카,호텔,53754
호텔 신 이마미야,2023-08-31,2023-09-01,오사카,호텔,19352
토요코인 오사카 츠루하시 에키마에,2023-08-31,2023-09-01,오사카,호텔,51599
닛폰바시 룩세 호텔,2023-08-31,2023-09-01,오사카,호텔,56190
컴포트 호텔 오사카 신사이바시,2023-08-31,2023-09-01,오사카,호텔,59207
도미인 프리미엄 난바 아넥스 내추럴 핫 스프링,2023-08-31,2023-09-01,오사카,호텔,121940
비아 인 신사이바시,2023-08-31,2023-09-01,오사카,호텔,44036
호텔 피봇,2023-08-31,2023-09-01,오사카,호텔,32448
호텔 트러스티 오사카 아베노,2023-08-31,2023-09-01,오사카,호텔,54873
리버 호텔 앳 유니버설 스튜디오 재팬,2023-08-31,2023-09-01,오사카,호텔,104612
미도스지 호텔,2023-08-31,2023-09-01,오사카,호텔,50200
힐튼 오사카 호텔,2023-08-31,2023-09-01,오사카,호텔,236391
호텔 라이브맥스 오사카 요도야바시,2023-08-31,2023-09-01,오사카,호텔,42443
호텔 라이브맥스 신사이바시 이스트,2023-08-31,2023-09-01,오사카,호텔,39587
도톤보리 크리스탈 호텔,2023-08-31,2023-09-01,오사카,호텔,71231
호텔 릴리프 난바 다이코쿠초,2023-08-31,2023-09-01,오사카,호텔,61859
웰스테이 난바,2023-08-31,2023-09-01,오사카,호텔,64095
오사카 가든 팰리스,2023-08-31,2023-09-01,오사카,호텔,43031
도톤보리 호텔,2023-08-31,2023-09-01,오사카,호텔,92527
더 비 오사카 미도스지,2023-08-31,2023-09-01,오사카,호텔,68121
호텔 구라모토,2023-08-31,2023-09-01,오사카,호텔,84763
호텔 마이스테이스 사카이스지 혼마치,2023-08-31,2023-09-01,오사카,호텔,51509
시티 플라자 오사카,2023-08-31,2023-09-01,오사카,호텔,66720
호텔 유니버셜 포트,2023-08-31,2023-09-01,오사카,호텔,191794
니폰바시 크리스탈 호텔,2023-08-31,2023-09-01,오사카,호텔,44485
젠티스 오사카,2023-08-31,2023-09-01,오사카,호텔,153141
호텔 몬토레 오사카,2023-08-31,2023-09-01,오사카,호텔,72220
호텔 오리엔탈 익스프레스 오사카 신사이바시,2023-08-31,2023-09-01,오사카,호텔,53867
카락사 호텔 오사카 난바,2023-08-31,2023-09-01,오사카,호텔,120109
비즈니스 호텔 니세이,2023-08-31,2023-09-01,오사카,호텔,39578
호텔 안드룸스 신-오사카,2023-08-31,2023-09-01,오사카,호텔,67720
오사카 테이코쿠 호텔,2023-08-31,2023-09-01,오사카,호텔,40016
리가 로얄 호텔 오사카,2023-08-31,2023-09-01,오사카,호텔,80117
퍼스트 캐빈 미도스지 난바,2023-07-21,2023-07-22,오사카,"게스트하우스,캡슐호텔,호스텔",54880
E-스포츠 호텔 E-존,2023-07-21,2023-07-22,오사카,"게스트하우스,캡슐호텔,호스텔",21087
호텔 카고 신사이바시,2023-07-21,2023-07-22,오사카,"게스트하우스,캡슐호텔,호스텔",39428
호텔 J-Ship 오사카 난바,2023-07-21,2023-07-22,오사카,"게스트하우스,캡슐호텔,호스텔",37946
북 앤드 베드 도쿄 신사이바시,2023-07-21,2023-07-22,오사카,"게스트하우스,캡슐호텔,호스텔",24064
오사카 난바 호스텔 미야비,2023-07-22,2023-07-23,오사카,"게스트하우스,캡슐호텔,호스텔",41581
Bnb+ 난바,2023-07-22,2023-07-23,오사카,"게스트하우스,캡슐호텔,호스텔",40984
스테이 오사카,2023-07-22,2023-07-23,오사카,"게스트하우스,캡슐호텔,호스텔",33208
&앤드 호스텔 혼마치 이스트,2023-07-22,2023-07-23,오사카,"게스트하우스,캡슐호텔,호스텔",39353
캡슐 호텔 J 가든 신-오사카,2023-07-22,2023-07-23,오사카,"게스트하우스,캡슐호텔,호스텔",40268
오사카 게스트하우스 네스트,2023-07-22,2023-07-23,오사카,"게스트하우스,캡슐호텔,호스텔",24444
이마노 오사카 신사이바시 호스텔,2023-07-22,2023-07-23,오사카,"게스트하우스,캡슐호텔,호스텔",39383
호텔 스테이트 텐노지,2023-07-22,2023-07-23,오사카,"게스트하우스,캡슐호텔,호스텔",97523
E-스포츠 호텔 E-존,2023-07-22,2023-07-23,오사카,"게스트하우스,캡슐호텔,호스텔",21580
호텔 카고 신사이바시,2023-07-22,2023-07-23,오사카,"게스트하우스,캡슐호텔,호스텔",49882
bnb+ 츠루하시,2023-07-22,2023-07-23,오사카,"게스트하우스,캡슐호텔,호스텔",31427
호텔 J-Ship 오사카 난바,2023-07-22,2023-07-23,오사카,"게스트하우스,캡슐호텔,호스텔",43216
루츠 호스텔 오사카,2023-07-22,2023-07-23,오사카,"게스트하우스,캡슐호텔,호스텔",28320
히포 호스텔 & 카페 바,2023-07-22,2023-07-23,오사카,"게스트하우스,캡슐호텔,호스텔",41732
오사카 게스트 하우스 사쿠라,2023-07-22,2023-07-23,오사카,"게스트하우스,캡슐호텔,호스텔",39200
피스 하우스 오사카,2023-07-22,2023-07-23,오사카,"게스트하우스,캡슐호텔,호스텔",38584
오사카 홋코 마리나 리조트 게스트하우스,2023-07-22,2023-07-23,오사카,"게스트하우스,캡슐호텔,호스텔",287589
세카이 호텔 휴즈,2023-07-22,2023-07-23,오사카,"게스트하우스,캡슐호텔,호스텔",31081
Yado Magokoro,2023-07-22,2023-07-23,오사카,"게스트하우스,캡슐호텔,호스텔",78064
04빌리지 난바,2023-07-22,2023-07-23,오사카,"게스트하우스,캡슐호텔,호스텔",32134
오사카 난바 호스텔 미야비,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",30932
더 스테이 오사카 신사이바시 오사카,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",20990
Bnb+ 난바,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",19887
퍼스트 캐빈 미도스지 난바,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",54880
스테이 오사카,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",33208
&앤드 호스텔 혼마치 이스트,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",20786
캡슐 호텔 J 가든 신-오사카,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",29286
캡슐&스파 그랜드 사우나 신사이바시,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",19562
피스 하우스 아베노,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",9957
호스텔 타케야도,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",35143
오사카 게스트하우스 네스트,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",24740
제이 호퍼스오사카 유니버설,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",89678
이마노 오사카 신사이바시 호스텔,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",21949
호텔 스테이트 텐노지,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",58035
E-스포츠 호텔 E-존,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",17513
호텔 카고 신사이바시,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",35549
피스 하우스 스즈나미,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",11202
bnb+ 츠루하시,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",16534
호텔 J-Ship 오사카 난바,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",36365
호텔 미카도,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",18397
쿠 호스텔 오사카,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",19363
루츠 호스텔 오사카,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",15386
히포 호스텔 & 카페 바,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",20500
오사카 게스트 하우스 사쿠라,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",21452
피스 하우스 오사카,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",12446
04빌리지 구조,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",110854
오사카 홋코 마리나 리조트 게스트하우스,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",271960
세카이 호텔 휴즈,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",25793
북 앤드 베드 도쿄 신사이바시,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",24064
게스트 하우스 마쓰,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",17817
피크닉 호스텔 오사카,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",18045
오사카 게스트 하우스 유-엔,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",19864
Yado Magokoro,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",39467
오사카 나카야마 게스트하우스,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",66829
호스텔 코-푸,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",41086
허니콤 호스텔 오사카,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",61557
더 팍스 호스텔,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",25259
04빌리지 난바,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",28117
쿠 호스텔 오사카,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",19363
루츠 호스텔 오사카,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",15386
히포 호스텔 & 카페 바,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",20500
오사카 게스트 하우스 사쿠라,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",21452
피스 하우스 오사카,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",12446
04빌리지 구조,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",110854
오사카 홋코 마리나 리조트 게스트하우스,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",271960
세카이 호텔 휴즈,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",25793
북 앤드 베드 도쿄 신사이바시,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",24064
게스트 하우스 마쓰,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",17817
피크닉 호스텔 오사카,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",18045
오사카 게스트 하우스 유-엔,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",19864
Yado Magokoro,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",39467
오사카 나카야마 게스트하우스,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",66829
호스텔 코-푸,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",41086
허니콤 호스텔 오사카,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",61557
더 팍스 호스텔,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",25259
04빌리지 난바,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",28117
쿠 호스텔 오사카,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",19363
루츠 호스텔 오사카,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",15386
히포 호스텔 & 카페 바,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",20500
오사카 게스트 하우스 사쿠라,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",21452
피스 하우스 오사카,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",12446
04빌리지 구조,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",110854
오사카 홋코 마리나 리조트 게스트하우스,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",271960
세카이 호텔 휴즈,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",25793
북 앤드 베드 도쿄 신사이바시,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",24064
게스트 하우스 마쓰,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",17817
피크닉 호스텔 오사카,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",18045
오사카 게스트 하우스 유-엔,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",19864
Yado Magokoro,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",39467
오사카 나카야마 게스트하우스,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",66829
호스텔 코-푸,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",41086
허니콤 호스텔 오사카,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",61557
더 팍스 호스텔,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",25259
04빌리지 난바,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",28117
쿠 호스텔 오사카,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",19363
루츠 호스텔 오사카,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",15386
히포 호스텔 & 카페 바,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",20500
오사카 게스트 하우스 사쿠라,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",21452
피스 하우스 오사카,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",12446
04빌리지 구조,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",110854
오사카 홋코 마리나 리조트 게스트하우스,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",271960
세카이 호텔 휴즈,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",25793
북 앤드 베드 도쿄 신사이바시,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",24064
게스트 하우스 마쓰,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",17817
피크닉 호스텔 오사카,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",18045
오사카 게스트 하우스 유-엔,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",19864
Yado Magokoro,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",39467
오사카 나카야마 게스트하우스,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",66829
호스텔 코-푸,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",41086
허니콤 호스텔 오사카,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",61557
더 팍스 호스텔,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",25259
04빌리지 난바,2023-07-23,2023-07-24,오사카,"게스트하우스,캡슐호텔,호스텔",28117
오사카 난바 호스텔 미야비,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",33540
더 스테이 오사카 신사이바시 오사카,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",21521
Bnb+ 난바,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",21088
퍼스트 캐빈 미도스지 난바,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",44335
스테이 오사카,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",29052
&앤드 호스텔 혼마치 이스트,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",21257
캡슐 호텔 J 가든 신-오사카,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",29286
캡슐&스파 그랜드 사우나 신사이바시,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",19562
피스 하우스 아베노,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",9957
호스텔 타케야도,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",35143
오사카 게스트하우스 네스트,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",24243
제이 호퍼스오사카 유니버설,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",22924
이마노 오사카 신사이바시 호스텔,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",19880
호텔 스테이트 텐노지,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",29017
호스텔 미쓰와야 오사카,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",24512
E-스포츠 호텔 E-존,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",20483
호텔 카고 신사이바시,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",34728
자코텔 쓰루하시,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",20500
피스 하우스 스즈나미,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",11202
bnb+ 츠루하시,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",18916
호텔 J-Ship 오사카 난바,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",38286
호텔 미카도,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",18905
쿠 호스텔 오사카,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",19363
루츠 호스텔 오사카,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",15215
히포 호스텔 & 카페 바,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",20500
오사카 게스트 하우스 사쿠라,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",21366
피스 하우스 오사카,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",12446
04빌리지 구조,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",113490
오사카 홋코 마리나 리조트 게스트하우스,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",143348
세카이 호텔 휴즈,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",22902
북 앤드 베드 도쿄 신사이바시,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",24685
게스트 하우스 마쓰,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",17413
오사카 토마토 게스트 하우스,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",14369
피크닉 호스텔 오사카,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",18489
오사카 게스트 하우스 유-엔,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",20324
Yado Magokoro,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",60988
오사카 나카야마 게스트하우스,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",66829
호스텔 코-푸,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",41086
호텔 J-Ship 오사카 난바,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",38286
호텔 미카도,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",18905
쿠 호스텔 오사카,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",19363
루츠 호스텔 오사카,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",15215
히포 호스텔 & 카페 바,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",20500
오사카 게스트 하우스 사쿠라,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",21366
피스 하우스 오사카,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",12446
04빌리지 구조,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",113490
오사카 홋코 마리나 리조트 게스트하우스,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",143348
세카이 호텔 휴즈,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",22902
북 앤드 베드 도쿄 신사이바시,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",24685
게스트 하우스 마쓰,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",17413
오사카 토마토 게스트 하우스,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",14369
피크닉 호스텔 오사카,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",18489
오사카 게스트 하우스 유-엔,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",20324
Yado Magokoro,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",60988
오사카 나카야마 게스트하우스,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",66829
호스텔 코-푸,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",41086
호텔 J-Ship 오사카 난바,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",38286
호텔 미카도,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",18905
쿠 호스텔 오사카,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",19363
루츠 호스텔 오사카,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",15215
히포 호스텔 & 카페 바,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",20500
오사카 게스트 하우스 사쿠라,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",21366
피스 하우스 오사카,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",12446
04빌리지 구조,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",113490
오사카 홋코 마리나 리조트 게스트하우스,2023-07-24,2023-07-25,오사카,"게스트하우스,캡슐호텔,호스텔",143348
